"Timestamp","DisplayName","BaseName","ClassName","Rarity","StackSize","Enchanted1_Display","Enchanted1_Translation","Enchanted1_Values","Explicit1_Display","Explicit1_Translation","Explicit1_Values","Explicit1_ValuesMinMax","Explicit2_Display","Explicit2_Translation","Explicit2_Values","Explicit2_ValuesMinMax","Explicit3_Display","Explicit3_Translation","Explicit3_Values","Explicit3_ValuesMinMax","Explicit4_Display","Explicit4_Translation","Explicit4_Values","Explicit4_ValuesMinMax","Explicit5_Display","Explicit5_Translation","Explicit5_Values","Explicit5_ValuesMinMax","Explicit6_Display","Explicit6_Translation","Explicit6_Values","Explicit6_ValuesMinMax","AllModTranslations"
"2026-01-06T20:54:30.8928109+00:00","Primordial Staff","Primordial Staff","Staff","Rare","","Enchantment Critical Modifier Effect","Areas contain a Mirror of Delirium","8","of Unmaking","100% increased Spell Critical Strike Chance","100","","of Masterstroke","Gain 101 Life per Enemy Killed","101","","of the Savant","+38 to Intelligence","38","","Runic","161% increased Spell Damage","161","","Electrocuting","Adds 0 to 16 Lightning Damage to Spells
Adds 258 to 0 Chaos Damage to Spells","16;258","","","","","","of Unmaking | of Masterstroke | of the Savant | Runic | Electrocuting"
"2026-01-06T20:55:01.6645739+00:00","Replica Bloodplay","Stiletto","Dagger","Unique","","","","","","","","","","","","","","","","","","","","","","","","","","","","","StrengthUnique__20_ | LocalIncreasedPhysicalDamagePercentUniqueDagger12 | LocalAddedPhysicalDamageUniqueDagger12 | LocalChanceToBleedUniqueDagger12 | CriticalStrikeChanceAgainstBleedingEnemiesUnique__1 | ExtraGore"
"2026-01-06T20:55:01.6646174+00:00","19x Orb of Binding","Orb of Binding","StackableCurrency","","19","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2026-01-06T20:55:06.6754933+00:00","Replica Kalisa's Grace","Samite Gloves","Gloves","Unique","","","","","","","","","","","","","","","","","","","","","","","","","","","","","DisplaySupportedByUnleashUnique__1 | IntelligenceUnique__7 | LocalIncreasedEnergyShieldUnique__14 | IncreasedLifeUnique__62 | GainAreaOfEffectPluspercentOnManaSpentUnique__1"
"2026-01-06T20:55:06.6755047+00:00","Replica Oro's Sacrifice","Infernal Sword","Two Hand Sword","Unique","","","","","","","","","","","","","","","","","","","","","","","","","","","","","LocalReducedPhysicalDamagePercentUniqueTwoHandSword6 | LocalAddedColdDamageUnique__9_ | LocalIncreasedAttackSpeedUniqueTwoHandSword6 | ChanceToFreezeUnique__5 | IncreasedPhysicalDamageTakenUniqueTwoHandSword6 | ColdDamageTakenUnique__2 | EnduranceChargeIfAttackFreezesUnique__1 | CullingAgainstFrozenEnemiesUnique__1"
"2026-01-06T20:55:06.6755155+00:00","20x Vaal Orb","Vaal Orb","StackableCurrency","","20","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2026-01-06T20:55:40.8939182+00:00","Replica Grip of the Council","Arcanist Gloves","Gloves","Unique","","","","","","","","","","","","","","","","","","","","","","","","","","","","","StrengthUnique__4 | IncreasedLifeUnique__20 | FireResistUnique__25 | MinionLifeUnique__4__ | MinionFireResistUnique__1 | MinionPhysicalDamageAddedAsFireUnique__1"
"2026-01-06T20:55:40.8939339+00:00","Infernal Blade","Infernal Blade","Rune Dagger","Rare","","","","","Discharging","Adds 0 to 6 Lightning Damage to Spells
Adds 139 to 0 Chaos Damage to Spells","6;139","","Conjuror's","11% increased Spell Damage
+21 to maximum Mana","11;21","","of Menace","16% increased Spell Critical Strike Chance","16","","of Expertise","13% increased Cast Speed","13","","of Euphoria","50% increased Mana Regeneration Rate","50","","","","","","Discharging | Conjuror's | of Menace | of Expertise | of Euphoria"
"2026-01-06T20:55:45.9060600+00:00","Replica Twyzel","Blasting Wand","Wand","Unique","","","","","","","","","","","","","","","","","","","","","","","","","","","","","LocalIncreasedAttackSpeedUniqueWand9 | LocalCriticalStrikeChanceUnique__20 | AttackAdditionalProjectilesUnique__1 | LocalIncreasedPhysicalDamagePercentUniqueWand9x"
"2026-01-06T20:55:45.9060854+00:00","Replica Ambu's Charge","Crusader Chainmail","Body Armour","Unique","","","","","","","","","","","","","","","","","","","","","","","","","","","","","LocalIncreasedArmourAndEnergyShieldUniqueBodyStrInt2 | IncreasedLifeUnique__42_ | AllResistancesUniqueBodyStrInt2 | ShareEnduranceChargesWithParty | GainEnduranceChargesWhenHitUnique__1_ | LoseLifeIfHitRecentlyUnique__1"
"2026-01-06T20:55:45.9061213+00:00","17x Vaal Orb","Vaal Orb","StackableCurrency","","17","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2026-01-06T20:56:14.7597084+00:00","Replica Bloodplay","Stiletto","Dagger","Unique","","","","","","","","","","","","","","","","","","","","","","","","","","","","","StrengthUnique__20_ | LocalIncreasedPhysicalDamagePercentUniqueDagger12 | LocalAddedPhysicalDamageUniqueDagger12 | LocalChanceToBleedUniqueDagger12 | CriticalStrikeChanceAgainstBleedingEnemiesUnique__1 | ExtraGore"
"2026-01-06T20:56:14.7597288+00:00","Replica Paradoxica","Vaal Rapier","Thrusting One Hand Sword","Unique","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Veiled | Veiled | of the Veil | of the Veil | of the Veil | Veiled"
"2026-01-06T20:56:19.7681586+00:00","Replica Advancing Fortress","Gut Ripper","Claw","Unique","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SupportedByCastOnDamageTakenUnique__1 | AdditionalBlockUnique__2 | LocalIncreasedPhysicalDamagePercentUnique__10 | IncreasedLifeUnique__8 | ShieldArmourIncreaseUnique__1 | AddedFireDamageIfBlockedRecentlyUnique__1"
"2026-01-06T20:56:19.7681769+00:00","Replica Innsbury Edge","Elder Sword","One Hand Sword","Unique","","","","","","","","","","","","","","","","","","","","","","","","","","","","","LocalIncreasedPhysicalDamagePercentUnique__13 | ChaosDamageLifeLeechPermyriadUnique__1 | PhysicalDamageConvertedToChaosUnique__2 | DamnedWeaponEffectsUnique__1 | LocalWitherOnHitChanceUnique__2"
"2026-01-06T20:56:19.7681812+00:00","Gladius","Gladius","One Hand Sword","Rare","","Enchantment Critical Modifier Effect and Damage Modifier Effect Penalty","Areas contain a Mirror of Delirium","12;-25","of Puncturing","27% increased Critical Strike Chance","27","","of the Gods","+52 to Strength","52","","Gleaming","Adds 12 to 22 Physical Damage","12;22","","of the Mongoose","+10 to Dexterity","10","","Serrated","60% increased Physical Damage","60","","","","","","of Puncturing | of the Gods | Gleaming | of the Mongoose | Serrated"
"2026-01-06T20:56:51.4632138+00:00","17x Chaos Orb","Chaos Orb","StackableCurrency","","17","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2026-01-06T20:56:51.4632281+00:00","17x Orb of Scouring","Orb of Scouring","StackableCurrency","","17","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2026-01-06T20:56:56.4927622+00:00","Platinum Kris","Platinum Kris","Rune Dagger","Rare","","Enchantment Caster Damage Modifier Effect","Adds 0 to 8 Physical Damage to Attacks per 25 Strength","8","Discharging","Adds 0 to 6 Lightning Damage to Spells
Adds 138 to 0 Chaos Damage to Spells","6;138","","of Euphoria","53% increased Mana Regeneration Rate","53","","Conjuror's","11% increased Spell Damage
+24 to maximum Mana","11;24","","of Fury","+28% to Global Critical Strike Multiplier","28","","of the Leopard","+36 to Dexterity","36","","Scholar's","33% increased Spell Damage","33","","Discharging | of Euphoria | Conjuror's | of Fury | of the Leopard | Scholar's"
"2026-01-06T20:56:56.4928170+00:00","Vaal Greatsword","Vaal Greatsword","Two Hand Sword","Rare","","Enchantment Speed Modifier Effect","<unknown HeistEnchantmentSpeedModEffectPct:8>","8","Cruel","139% increased Physical Damage","139","","Razor-sharp","Adds 27 to 54 Physical Damage","27;54","","Reaver's","28% increased Physical Damage
+50 to Accuracy Rating","28;50","","of Infamy","25% increased Attack Speed","25","","of the Ranger","+580 to Accuracy Rating","580","","of the Gorilla","+30 to Strength","30","","Cruel | Razor-sharp | Reaver's | of Infamy | of the Ranger | of the Gorilla"
"2026-01-06T20:56:56.4928300+00:00","Eye Gouger","Eye Gouger","Claw","Rare","","Enchantment Caster Damage Modifier Effect","Adds 0 to 8 Physical Damage to Attacks per 25 Strength","8","of Destruction","+35% to Global Critical Strike Multiplier","35","","Snapping","Adds 2 to 42 Lightning Damage","2;42","","of Piercing","20% increased Critical Strike Chance","20","","Frozen","Adds 32 to 66 Cold Damage","32;66","","Blasting","Adds 74 to 140 Fire Damage","74;140","","","","","","of Destruction | Snapping | of Piercing | Frozen | Blasting"
"2026-01-06T20:57:46.2116353+00:00","18x Orb of Binding","Orb of Binding","StackableCurrency","","18","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2026-01-06T20:57:46.2116470+00:00","Replica Wings of Entropy","Ezomyte Axe","Two Hand Axe","Unique","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SpellBlockPercentageUniqueTwoHandAxe6 | BlockWhileDualWieldingUniqueTwoHandAxe6 | LocalIncreasedPhysicalDamagePercentUniqueTwoHandAxe6 | UniqueWingsOfEntropyCountsAsDualWielding | OffHandVisualIdentityOverrideUniqueTwoHandAxe6 | OffHandBaseCriticalStrikeChanceUnique__1 | WingsOfEntropyMainHandAttackSpeedFinalUnique__1_"
"2026-01-06T20:57:51.2297584+00:00","Astral Plate","Astral Plate","Body Armour","Rare","","Enchantment Life Modifier Effect","+8 to Brute Force Level for Heists","8","of the Leviathan","+38 to Strength","38","","of the Apt","32% reduced Attribute Requirements","-32","","Hale","+4 to maximum Life","4","","Crocodile's","+98 to Armour
+35 to maximum Life","98;35","","of the Magma","+44% to Fire Resistance","44","","Rhino's","30% increased Armour
13% increased Stun and Block Recovery","30;13","","of the Leviathan | of the Apt | Hale | Crocodile's | of the Magma | Rhino's"
"2026-01-06T20:57:51.2297774+00:00","Reaver Sword","Reaver Sword","Two Hand Sword","Rare","","Enchantment Fire Modifier Effect and White Sockets","Gain 8% increased Area of Effect for 2 seconds after Spending a total of 800 Mana
Alert Level increases by 0.01% per second","8;1","Smouldering","Adds 14 to 32 Fire Damage","14;32","","Polar","Adds 117 to 214 Cold Damage","117;214","","Discharging","Adds 20 to 395 Lightning Damage","20;395","","of Ferocity","+34% to Global Critical Strike Multiplier","34","","of Revitalization","Chaos Damage taken does not bypass Energy Shield during effect","27","","","","","","Smouldering | Polar | Discharging | of Ferocity | of Revitalization"
"2026-01-06T20:57:51.2297854+00:00","Replica Quill Rain","Short Bow","Bow","Unique","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SupportedByArrowNovaUnique__1 | DexterityUniqueBow4 | LocalIncreasedPhysicalDamagePercentUnique__26 | LocalIncreasedAttackSpeedUnique__35 | ManaGainPerTargetUnique__2 | ProjectileSpeedUniqueBow4_ | IncreasedAccuracyUniqueBow4"
"2026-01-06T20:58:35.0528888+00:00","Desert Brigandine","Desert Brigandine","Body Armour","Rare","","Enchantment Resistance Modifier Effect","Grants Level 8 Zealotry Skill","8","Vigorous","+148 to maximum Life","148","","Duelist's","77% increased Armour and Evasion","77","","Nautilus's","+67 to Armour
+31 to maximum Life","67;31","","of the Furnace","+32% to Fire Resistance","32","","of Bameth","+35% to Chaos Resistance","35","","of the Lightning","+42% to Lightning Resistance","42","","Vigorous | Duelist's | Nautilus's | of the Furnace | of Bameth | of the Lightning"
"2026-01-06T20:58:35.0529432+00:00","Transfer-attuned Spirit Shield","Transfer-attuned Spirit Shield","Shield","Rare","","","","","of Galvanising","50% faster start of Energy Shield Recharge","50","","Indomitable","82% increased Energy Shield","82","","Athlete's","+119 to maximum Life","119","","Monk's","+9 to maximum Energy Shield
+22 to maximum Life","9;22","","of Will","32% chance to Avoid Elemental Ailments","32","","","","","","of Galvanising | Indomitable | Athlete's | Monk's | of Will"
"2026-01-06T20:58:40.0641407+00:00","Replica Tasalio’s Sign","Sapphire Ring","Ring","Unique","","","","","","","","","","","","","","","","","","","","","","","","","","","","","AddedColdDamageUnique__10 | IncreasedEvasionRatingUniqueRing30 | ColdDamageCannotFreeze | ImmuneToChillUnique__1 | AddedColdDamageAgainstFrozenEnemiesUnique__2"
"2026-01-06T20:58:40.0641775+00:00","17x Chaos Orb","Chaos Orb","StackableCurrency","","17","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2026-01-06T20:58:40.0641820+00:00","Replica Fencoil","Gnarled Branch","Staff","Unique","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SupportedByMultiTotemUnique__1 | AllDamageUniqueStaff4 | MaximumLifeUniqueStaff4 | MaximumManaUniqueStaff4"
"2026-01-06T20:59:37.2772860+00:00","Replica Last Resort","Nailed Fist","Claw","Unique","","","","","","","","","","","","","","","","","","","","","","","","","","","","","IncreasedAttackSpeedWhenOnLowLifeUnique__1 | LocalIncreasedPhysicalDamagePercentUniqueClaw4 | IncreasedAccuracyWhenOnLowLifeUniqueClaw4 | IncreasedClawDamageOnLowLifeUnique__1__ | DealNoDamageWhenNotOnLowLifeUnique__1"
"2026-01-06T20:59:37.2773286+00:00","20x Chaos Orb","Chaos Orb","StackableCurrency","","20","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2026-01-06T20:59:42.2920110+00:00","Replica Victario's Charity","Laminated Kite Shield","Shield","Unique","","","","","","","","","","","","","","","","","","","","","","","","","","","","","IncreasedLifeUnique__12_ | LightningResistUnique__4 | ChaosResistUnique__1 | AuraEffectUnique__2____ | GrantsAlliesEnduranceChargeOnHitUnique__1 | GrantsAlliesFrenzyChargeOnKillUnique__1_"
"2026-01-06T20:59:42.2920248+00:00","Replica Infractem","Decimation Bow","Bow","Unique","","","","","","","","","","","","","","","","","","","","","","","","","","","","","DexterityUniqueBow7 | LocalIncreasedPhysicalDamagePercentUniqueBow7 | LocalAddedPhysicalDamageUniqueBow7 | MovementVelocityUniqueBow7 | IncreasedAccuracyUniqueBow7 | CannotLeechManaUnique__1_ | AttackProjectilesForkUnique__1 | AttackProjectilesForkExtraTimesUnique__1"
"2026-01-06T20:59:42.2920270+00:00","Replica Veil of the Night","Great Helmet","Helmet","Unique","","","","","","","","","","","","","","","","","","","","","","","","","","","","","StunRecoveryUniqueHelmetStrInt4 | LightRadiusUniqueHelmetStrInt4 | LightningDamageOnBlockUniqueHelmetStrInt4 | DefencesAreZeroUnique__1_ | IncreasedElementalResistancesUnique__1"
"2026-01-06T21:00:09.8655731+00:00","Imperial Staff","Imperial Staff","Staff","Rare","","Enchantment Attribute Modifier Effect","Minions have 8% increased Projectile Speed","8","of Slamming","26% increased Stun Duration on Enemies","26","","Electrocuting","Adds 0 to 12 Lightning Damage to Spells
Adds 263 to 0 Chaos Damage to Spells","12;263","","Scholar's","45% increased Spell Damage","45","","of Disaster","49% increased Spell Critical Strike Chance","49","","of Expertise","20% increased Cast Speed","20","","","","","","of Slamming | Electrocuting | Scholar's | of Disaster | of Expertise"
"2026-01-06T21:00:17.5705979+00:00","Imperial Staff","Imperial Staff","Staff","Rare","","Enchantment Attribute Modifier Effect","Minions have 8% increased Projectile Speed","8","of Slamming","26% increased Stun Duration on Enemies","26","","Electrocuting","Adds 0 to 12 Lightning Damage to Spells
Adds 263 to 0 Chaos Damage to Spells","12;263","","Scholar's","45% increased Spell Damage","45","","of Disaster","49% increased Spell Critical Strike Chance","49","","of Expertise","20% increased Cast Speed","20","","","","","","of Slamming | Electrocuting | Scholar's | of Disaster | of Expertise"
"2026-01-06T21:00:22.5832002+00:00","Thief's Trinket","Thief's Trinket","Trinket","Rare","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6% chance to receive additional Divination Card items when opening a Reward Chest in a Heist | 1% chance to receive additional Ultimatum items when opening a Reward Chest in a Heist | 16% chance in Heists for Orbs of Alteration to drop as Orbs of Alchemy instead | 3% chance in Heists for Items to drop with an additional Socket"
"2026-01-06T21:00:22.5895659+00:00","Thief's Trinket","Thief's Trinket","Trinket","Rare","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3% chance to receive additional Harbinger items when opening a Reward Chest in a Heist | Monsters have 7% chance to Duplicate dropped Rogue's Marker | 4% chance in Heists for Items to drop with an additional Socket"
"2026-01-06T21:00:22.5895800+00:00","Eagle Claw","Eagle Claw","Claw","Rare","","Enchantment Physical Modifier Effect and Attribute Modifier Effect","You have Perfect Agony if you've dealt a Critical Strike recently
Minions have 6% increased Projectile Speed","6;6","Icy","Adds 14 to 24 Cold Damage","14;24","","Arcing","Adds 7 to 112 Lightning Damage","7;112","","of the Marksman","+422 to Accuracy Rating","422","","of Penetrating","33% increased Critical Strike Chance","33","","Burning","Adds 22 to 39 Fire Damage","22;39","","of Destruction","+38% to Global Critical Strike Multiplier","38","","Icy | Arcing | of the Marksman | of Penetrating | Burning | of Destruction"
"2026-01-06T21:00:22.5896131+00:00","Replica Tempestuous Steel","War Sword","One Hand Sword","Unique","","","","","","","","","","","","","","","","","","","","","","","","","","","","","LocalAddedPhysicalDamageUnique__10 | LocalIncreasedAttackSpeedUnique__12 | AccuracyPercentUnique__1 | OneHandedMeleeCriticalStrikeMultiplierUnique__1 | LocalElementalPenetrationUnique__1 | AttackPhysicalDamageAddedAsFireUnique__1 | AttackPhysicalDamageAddedAsLightningUnique__1"
"2026-01-06T21:01:05.3881090+00:00","Engraved Hatchet","Engraved Hatchet","One Hand Axe","Rare","","Enchantment Physical Modifier Effect and No Green Sockets","You have Perfect Agony if you've dealt a Critical Strike recently
Reinforcements have 1% increased Cast Speed","8;1","Unleashed","<unknown ElementalDamageWithAttackSkillsPct:42>","42","","Humming","Adds 1 to 5 Lightning Damage","1;5","","of Retention","Gain 46 Mana per Enemy Killed","46","","of Penetrating","30% increased Critical Strike Chance","30","","Frozen","Adds 41 to 64 Cold Damage","41;64","","of Infamy","24% increased Attack Speed","24","","Unleashed | Humming | of Retention | of Penetrating | Frozen | of Infamy"
"2026-01-06T21:01:05.3881322+00:00","Replica Oro's Sacrifice","Infernal Sword","Two Hand Sword","Unique","","","","","","","","","","","","","","","","","","","","","","","","","","","","","LocalReducedPhysicalDamagePercentUniqueTwoHandSword6 | LocalAddedColdDamageUnique__9_ | LocalIncreasedAttackSpeedUniqueTwoHandSword6 | ChanceToFreezeUnique__5 | IncreasedPhysicalDamageTakenUniqueTwoHandSword6 | ColdDamageTakenUnique__2 | EnduranceChargeIfAttackFreezesUnique__1 | CullingAgainstFrozenEnemiesUnique__1"
